Date,EnergyPrice
6/01/2015,42.22
7/01/2015,42.61
8/01/2015,42.43
9/01/2015,36.94
10/01/2015,36.25
11/01/2015,30.7
12/01/2015,37.7
13/01/2015,40.87
14/01/2015,39.88
15/01/2015,42.44
16/01/2015,42.25
17/01/2015,36.63
18/01/2015,38
19/01/2015,43.6
20/01/2015,47.79
21/01/2015,45.38
22/01/2015,44.2
23/01/2015,43.62
24/01/2015,39.6
25/01/2015,40.27
26/01/2015,44.26
27/01/2015,39.45
28/01/2015,41.64
29/01/2015,46.56
30/01/2015,41.41
31/01/2015,41.12
1/02/2015,38.3
2/02/2015,43.91
3/02/2015,47.24
4/02/2015,48.54
5/02/2015,44.55
6/02/2015,45.2
7/02/2015,47.97
8/02/2015,41.62
9/02/2015,47.88
10/02/2015,46.77
11/02/2015,50.06
12/02/2015,50.16
13/02/2015,48.98
14/02/2015,44.37
15/02/2015,43.36
16/02/2015,52.64
17/02/2015,46.97
18/02/2015,46.06
19/02/2015,47.06
20/02/2015,49.33
21/02/2015,47.73
22/02/2015,41.05
23/02/2015,45.85
24/02/2015,44
25/02/2015,46.84
26/02/2015,47.87
27/02/2015,48.94
28/02/2015,45.33
1/03/2015,30.46
2/03/2015,46.97
3/03/2015,49.92
4/03/2015,44.43
5/03/2015,48.3
6/03/2015,49.12
7/03/2015,39.86
8/03/2015,34.47
9/03/2015,44.26
10/03/2015,43.39
11/03/2015,46.19
12/03/2015,45.6
13/03/2015,45.55
14/03/2015,43.81
15/03/2015,41.71
16/03/2015,43.64
17/03/2015,45.12
18/03/2015,41.27
19/03/2015,42.55
20/03/2015,42.99
21/03/2015,33.74
22/03/2015,32.57
23/03/2015,43.08
24/03/2015,48.43
25/03/2015,42.68
26/03/2015,42.81
27/03/2015,44.87
28/03/2015,39.54
29/03/2015,30.87
30/03/2015,40.9
31/03/2015,38.81
1/04/2015,40.03
2/04/2015,42.4
3/04/2015,49.54
4/04/2015,38.67
5/04/2015,30.95
6/04/2015,33.16
7/04/2015,45.84
8/04/2015,48.82
9/04/2015,44.64
10/04/2015,43.62
11/04/2015,37.01
12/04/2015,30.61
13/04/2015,48.96
14/04/2015,43.88
15/04/2015,45.28
16/04/2015,43.43
17/04/2015,48.79
18/04/2015,34.41
19/04/2015,32.63
20/04/2015,40.12
21/04/2015,41.67
22/04/2015,43.67
23/04/2015,43.38
24/04/2015,42.68
25/04/2015,39.45
26/04/2015,39.88
27/04/2015,37.23
28/04/2015,42.99
29/04/2015,42.76
30/04/2015,44.43
1/05/2015,42.66
2/05/2015,35.23
3/05/2015,27.33
4/05/2015,37.23
5/05/2015,30.98
6/05/2015,33.17
7/05/2015,48.26
8/05/2015,47.24
9/05/2015,36.15
10/05/2015,44.82
11/05/2015,46.59
12/05/2015,45.28
13/05/2015,40.78
14/05/2015,39.01
15/05/2015,45.97
16/05/2015,46.31
17/05/2015,34.32
18/05/2015,43.86
19/05/2015,40.66
20/05/2015,39.4
21/05/2015,37.89
22/05/2015,36.44
23/05/2015,26.42
24/05/2015,23.3
25/05/2015,27.67
26/05/2015,37.66
27/05/2015,36.51
28/05/2015,39.92
29/05/2015,39.76
30/05/2015,27.61
31/05/2015,20.3
1/06/2015,42.49
2/06/2015,33.04
3/06/2015,37.05
4/06/2015,46.65
5/06/2015,43.32
6/06/2015,39.47
7/06/2015,33.55
8/06/2015,38.36
9/06/2015,36.27
10/06/2015,35.52
11/06/2015,40.14
12/06/2015,41.18
13/06/2015,26.64
14/06/2015,24.16
15/06/2015,39.08
16/06/2015,42.18
17/06/2015,39.25
18/06/2015,41.54
19/06/2015,41.78
20/06/2015,43.55
21/06/2015,29.6
22/06/2015,38.98
23/06/2015,46.63
24/06/2015,41.81
25/06/2015,43.8
26/06/2015,48.57
27/06/2015,31.71
28/06/2015,32.15
29/06/2015,39.47
30/06/2015,43.46
1/07/2015,44.28
2/07/2015,45.32
3/07/2015,53.48
4/07/2015,38.08
5/07/2015,33.13
6/07/2015,47.17
7/07/2015,49.78
8/07/2015,41.52
9/07/2015,41.85
10/07/2015,43.62
11/07/2015,40.97
12/07/2015,30.14
13/07/2015,43.42
14/07/2015,44.45
15/07/2015,48.31
16/07/2015,52.25
17/07/2015,44.32
18/07/2015,40.14
19/07/2015,33.53
20/07/2015,47.64
21/07/2015,48.64
22/07/2015,46.79
23/07/2015,46.83
24/07/2015,45.78
25/07/2015,31.69
26/07/2015,34.6
27/07/2015,35.99
28/07/2015,33.67
29/07/2015,33.7
30/07/2015,44.99
31/07/2015,41.15
1/08/2015,30.57
2/08/2015,29.91
3/08/2015,39.38
4/08/2015,42.14
5/08/2015,39.29
6/08/2015,40.7
7/08/2015,40.65
8/08/2015,29.54
9/08/2015,28.47
10/08/2015,39.33
11/08/2015,43.03
12/08/2015,40.25
13/08/2015,39.52
14/08/2015,39.56
15/08/2015,40.5
16/08/2015,36.16
17/08/2015,41.87
