URL,Title,Publication Date
https://nos.nl/artikel/2468267-bouwmeester-over-zeilgoud-na-bevalling-misschien-onbewust-pijngrens-verlegd,bouwmeester over zeilgoud na bevalle    Misschien onbewust pijngren verlegd,21/03/2023
https://nos.nl/artikel/2453319-bouwmeester-pakt-brons-op-ek-zeilen-eerste-medaille-na-comeback-zwangerschap,"bouwmeester pakt bron op EK zeilen , eerste medaille na comeback zwangerschap",21/11/2022
https://nos.nl/artikel/2448430-bouwmeester-houdt-met-nog-twee-dagen-te-gaan-zicht-op-podium-bij-wk-zeilen,bouwmeester houdt meet nog twee dagen te gaan zicht op podium bij WK zeilen,15/10/2022
https://nos.nl/artikel/2448308-bouwmeester-raakt-leiding-kwijt-op-wk-maar-marges-bovenin-zijn-nog-klein,"bouwmeester raakt leide kwijt op WK , maar marge bovenin zijn nog klein",14/10/2022
https://nos.nl/artikel/2448170-organisatie-rond-baby-thuis-uitdaging-maar-bouwmeester-gaat-alweer-aan-kop-op-wk,"  organisatie rond baby thuis   uitdaging , maar Bouwmeester gaat alweer aan kop op WK",13/10/2022
https://nos.nl/artikel/2403476-bouwmeester-komt-met-babynieuws-geen-wk-maar-perfecte-timing-voor-2024,"bouwmeester komt meet babynieuws   geen WK , maar   perfecte timing voor 2024",28/10/2021
https://nos.nl/artikel/2391451-bouwmeester-zakt-na-valse-start-weg-in-het-klassement-heiner-stijgt-juist,"bouwmeester zakt na valse start weg in het klassement , Heiner stijgt juist",29/07/2021
https://nos.nl/artikel/2391448-gouden-missie-badloe-bijna-volbracht-eerst-nog-een-cleane-wedstrijd-varen,Gouden missie Badloe bijna volbracht    Eerst nog een cleane wedstrijd varen,29/07/2021
https://nos.nl/artikel/2390737-titelfavorieten-badloe-en-de-geus-besluiten-openingsdag-rs-x-klasse-met-goed-gevoel,Titelfavorieten Badloe en De Geus besluiten openingsdag RS X - klasse met go gevoel,25/07/2021
https://nos.nl/artikel/2239771-roeister-karolien-florijn-treedt-uit-de-schaduw-van-haar-beroemde-vader,Roeister Karolien Florijn treedt uit de schaduw van haar beroemde vader,04/07/2018
https://nos.nl/artikel/2378059-bos-haalt-olympische-landenplek-voor-nederland-in-laser-binnen,Bos haalt olympische landenplek voor Nederland in Laser binnen,24/04/2021
https://nos.nl/artikel/2365213-windsurfen-trekt-prijzengeld-mannen-en-vrouwen-gelijk-werd-wel-eens-tijd,windsurfen trekt prijzengeld mannen en vrouwen gelijk    Werd wel een tijd,20/01/2021
https://nos.nl/artikel/2345096-foilsurfen-zorgt-voor-revival-in-windsurfen-geeft-een-adrenalinekick.html,Foilsurfen zorgt voor revival in windsurfen    Geeft een adrenalinekick,23/08/2020
https://nos.nl/artikel/2261425-knsb-en-dopingautoriteit-zaak-verdwenen-urinestalen-verjaard,KNSB en Dopingautoriteit    Zaak verdwenen urinestalen verjaard,30/11/2018
https://nos.nl/artikel/2341909-nicolien-sauerbreij-acht-jaar-na-waxincident-toch-de-eerste-sneeuwmedaille.html,Nicolien Sauerbreij   acht jaar na waxincident toch de eerste sneeuwmedaille,26/07/2020
https://nos.nl/artikel/2303731-wk-windsurfen-badloe-goud-van-rijsselberghe-zilver-de-geus-brons,"WK windsurfen   Badloe goud , Van Rijsselberghe zilver , De Geus bron",28/09/2019
https://nos.nl/collectie/13681/artikel/2245514-bouwmeester-staat-wk-troon-af-aan-belgische-plasschaert,bouwmeester staat WK - troon af aan Belgische Plasschaert,10/08/2018
https://nos.nl/artikel/2231540-bouwmeester-opnieuw-europees-kampioene-in-laser-radial-klasse,bouwmeester opnieuw europee kampioene in Laser Radial - klasse,12/05/2018
